Item	Item_description	Item_price	Item_count	Vendor	Vendor_address
Syrup - Pancake	Bypass Jejunum to Asc Colon w Autol Sub, Perc Endo	86.03	17	Edgeclub	619 Division Road
Beans - Kidney, Canned	Drainage of Right Nipple, Open Approach, Diagnostic	86.65	23	Layo	2024 Gina Circle
Bar Special K	Insertion of Radioact Elem into L Up Leg, Perc Endo Approach	59.17	35	Yamia	775 Sachs Drive
Container - Hngd Cll Blk 7x7x3	Insertion of Ring Ext Fix into R Femur Shaft, Perc Approach	12.98	50	Fiveclub	422 Mcbride Avenue
Juice - Orange 1.89l	Dilation of L Brach Art with 3 Drug-elut, Perc Endo Approach	12.78	23	Photobug	11721 Tony Junction
Mustard - Dry, Powder	Transfer Right Hip Muscle with Skin, Perc Endo Approach	32.39	45	Bubblemix	10563 Anhalt Park
Broom - Corn	Supplement Right Renal Vein with Nonaut Sub, Open Approach	36.61	37	Photobug	2 Manley Hill
Sauce - Demi Glace	Reposition Left Knee Joint with Int Fix, Open Approach	34.83	8	Topiczoom	0242 Lindbergh Lane
Tea Peppermint	Reposition R Humeral Shaft with Intramed Fix, Open Approach	17.89	28	Ntag	61 Heffernan Avenue
Cilantro / Coriander - Fresh	Repair Right Glenoid Cavity, Perc Endo Approach	10.8	27	Twitterworks	49292 Forest Run Alley
Longos - Lasagna Beef	Fluoroscopy of L Int Carotid using Oth Contrast	43.63	7	Brightdog	009 Prentice Center
Chicken Breast Wing On	Excision of R Abd Bursa/Lig, Perc Endo Approach, Diagn	56.36	26	Topiclounge	87 Coolidge Pass
Figs	Dilate of R Temporal Art with Drug-elut Intra, Open Approach	73.28	34	Oyope	28 Hoard Avenue
Flour - Bran, Red	Drainage of Right Tibia, Percutaneous Approach	10.07	41	Thoughtbeat	365 Sheridan Point
Wine - Sherry Dry Sack, William	Reattachment of Right Hip Tendon, Perc Endo Approach	45.95	39	Kazu	281 Southridge Court
Bar Mix - Lime	Revision of Drain Dev in Low Bursa/Lig, Perc Endo Approach	95.48	14	Aimbo	659 Esker Street
Monkfish Fresh - Skin Off	Dilate L Subclav Vein w Intralum Dev, Perc Endo	98.4	35	Edgeify	905 Schlimgen Junction
Lobster - Baby, Boiled	Bypass Ileum to Rectum with Synth Sub, Open Approach	90.51	16	Mydo	7606 Stoughton Plaza
Scallops - 20/30	Occlusion of Innom Art with Extralum Dev, Perc Endo Approach	9.2	48	Flipstorm	476 Tomscot Plaza
Onions - Spanish	Dilate L Axilla Art, Bifurc, w 2 Drug-elut, Perc	98.85	35	Nlounge	953 Redwing Hill
Muffin Mix - Raisin Bran	Removal of Synth Sub from Spinal Canal, Perc Approach	80.7	31	Jayo	9 Monterey Road
Broom Handle	Remove Extralum Dev from Epididymis/Sperm Cord, Perc	69.47	22	Realbridge	1531 Northview Way
Wine - Prosecco Valdobienne	Bypass Low Esophag to Stomach w Synth Sub, Perc Endo	41.03	13	Twitterbridge	5 Summit Pass
Steampan Lid	Excision of Right Epididymis, Perc Endo Approach	75.0	6	Skivee	70715 Sundown Street
Soup - Campbells - Chicken Noodle	Reattachment of Left Hepatic Duct, Perc Endo Approach	25.81	39	Skipfire	789 Heath Place
Wine - Chateau Bonnet	Fusion Cerv Jt w Synth Sub, Post Appr P Col, Perc	19.96	2	Realblab	1206 Larry Hill
Mousse - Mango	Dilate L Fem Art, Bifurc, w Intralum Dev, Perc Endo	43.54	13	Agivu	791 Glendale Crossing
Chilli Paste, Sambal Oelek	Supplement Left Lower Eyelid with Synth Sub, Open Approach	18.34	6	Zoomlounge	1979 Upham Road
Jagermeister	Peripheral Nervous System, Extraction	90.93	7	Buzzdog	40351 Vahlen Hill
Cookies - Amaretto	Detachment at Right Foot, Complete 1st Ray, Open Approach	19.07	48	Thoughtmix	078 Southridge Place
Quiche Assorted	Contact Radiation of Thyroid	37.82	7	Wikizz	2414 Westport Crossing
Puree - Passion Fruit	Extraction of Left Lesser Saphenous Vein, Perc Approach	30.57	18	Jayo	3667 Veith Park
Table Cloth - 53x69 Colour	Supplement R Radial Art with Autol Sub, Perc Endo Approach	70.86	48	Trupe	02935 Sloan Court
Cheese - Marble	Dilate of Inf Mesent Art with 3 Intralum Dev, Open Approach	29.78	15	Skilith	92 Jenifer Parkway
Cake - Pancake	Excision of Left Cephalic Vein, Open Approach, Diagnostic	71.55	43	Thoughtworks	56957 Glendale Lane
Oil - Sunflower	Extirpation of Matter from Lower Artery, Perc Approach	28.95	9	Mydo	60436 Stoughton Crossing
Yucca	Alteration of Lower Back, Open Approach	57.91	22	Snaptags	0 Petterle Drive
Dried Peach	Dilate of L Com Iliac Art with 2 Intralum Dev, Perc Approach	20.32	26	Meedoo	33 Melvin Plaza
Butter Sweet	Drainage of Left Adrenal Gland, Perc Endo Approach	18.75	21	Gevee	61497 Lighthouse Bay Plaza
Cookie Double Choco	Occlusion of Left Vertebral Vein, Open Approach	21.68	41	Oodoo	70445 Boyd Center
Pastry - Banana Tea Loaf	Removal of Synth Sub from Male Perineum, Extern Approach	35.95	39	Skyba	27 Welch Point
Curry Paste - Green Masala	Destruction of Right Radial Artery, Perc Endo Approach	2.04	43	Mudo	7 Mallory Lane
Pasta - Shells, Medium, Dry	Bypass Gallbladder to Caud Duct w Intralum Dev, Perc Endo	22.88	1	Voolia	41889 Continental Lane
Versatainer Nc - 8288	Excision of L Up Leg Subcu/Fascia, Perc Approach, Diagn	83.85	3	Eazzy	72367 Sloan Alley
